,Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,legacy_gf3_code,SDN:P01::Alternative Name,comments,coverage_content_type,ioos_category,seabird_term
44,GF3,AMON,"BIO,IML,MEDS",mmol/m^3&#124;millimole per metre cube,nan,bottle,,nan,AMONZZXX,Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the water body [unknown phase],mmol/m^3,bottle,,,SDN:P01::AMONZZXX,Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the water body [unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,,,AMON,NH4,,physicalMeasurement,Other,
45,GF3,CDOM,"BIO,MEDS",mg/m^3,nan,nan,,nan,CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,mg/m^3,,,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,,CDOM,CDOM_fluor,,physicalMeasurement,Other,
46,GF3,CNDC,,S/m&#124;mhos/m&#124;siemens/m,nan,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,nan,CNDCST01,Electrical Conductivity ,S/m,,,sea_water_electrical_conductivity,SDN:P01::CNDCST01,Electrical conductivity of the water body by CTD,SDN:P06::UECA,Siemens per metre,,,CNDC,CTDCond,,,,Conductivity
47,GF3,CNTR,"BIO,IML,MEDS",none,nan,nan,,nan,ScanNumber,Scan Number,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
48,GF3,CPHL,"BIO,IML,MEDS",milligram per metre cube&#124;mg/m^3,nan,nan,,nan,CPHLZZXX,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],milligram per metre cube,,,mass_concentration_of_chlorophyll_a_in_sea_water,SDN:P01::CPHLZZXX,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],SDN:P06::UMMC,Milligrams per cubic metre,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],,CPHL,Chlorophyll-a,,physicalMeasurement,Other,
49,GF3,CRAT,"BIO,IML,MEDS",dimensionless,nan,nan,,nan,CRAT_XX,Conductivity Ratio,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CRAT,,,physicalMeasurement,Other,Conductivity
50,GF3,DENS,"BIO,IML,MEDS",kilogram per metre cube&#124;kg/m^3,nan,nan,,nan,DENSWB01,Density of the water body by gravimetry,kilogram per metre cube,,,sea_water_density,SDN:P01::DENSWB01,Density of the water body by gravimetry,SDN:P06::UKMC,Kilograms per cubic metre,Density of the water body by gravimetry,,DENS,WaterDens,,physicalMeasurement,Other,
51,GF3,DEPH,"BIO,IML,MEDS",metre&#124;metres,nan,nan,,nan,depth,Depth (spatial coordinate) relative to water surface in the water body,meters,,,depth,SDN:P01::ADEPZZ01,Depth (spatial coordinate) relative to water surface in the water body,SDN:P06::ULAA,Metres,The distance of a sensor or sampling point below the sea surface,,DEPH,DepBelowSurf,,coordinate,Location,
52,GF3,DOXY,"BIO,IML,MEDS",ml/L&#124;millilitre per litre&#124;ml/l,nan,bottle&#124;sample,,nan,DOXYWITX,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Winkler titration,ml/L,Winkler Titration,,volume_fraction_of_oxygen_in_sea_water,SDN:P01::DOXYWITX,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Winkler titration,SDN:P06::UMLL,Millilitres per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Winkler titration,,DOXY,WC_dissO2_Winkler,,physicalMeasurement,Dissolved O2,
53,GF3,DOXY,"BIO,IML,MEDS",ml/L&#124;millilitre per litre&#124;ml/l,nan,nan,,nan,DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,ml/L,,,volume_fraction_of_oxygen_in_sea_water,SDN:P01::DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,SDN:P06::UMLL,Millilitres per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,,DOXY,WC_dissO2_IS,,physicalMeasurement,Dissolved O2,"Oxygen, SBE 43"
54,GF3,DPDT,,metres/sec&#124;m/s,nan,nan,,nan,dpdt,Lowering Rate,m/s,,,platform_heave_rate_down,,,,,,,DPDT,,,auxiliaryInformation,Other,
55,GF3,FFFF,,none,nan,nan,,nan,FFFF_XX,Quality Flag: FFFF,,,,status_flag,,,,,,,FFFF,,,qualityInformation,Quality,
56,GF3,LABT,IML,degree_celsius&#124;Degrees C,nan,nan,,nan,,Lab Temperature,degree_celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,Lab temperature for pH calculation,,LABT,,,physicalMeasurement,Temperature,
57,GF3,LATD,"BIO,IML,MEDS",degrees_north&#124;degree&#124;deg&#124;degrees,nan,nan,,nan,preciseLat,Latitude East,degrees_north,,,latitude,SDN:P01::ALATZZ01,Latitude north,SDN:P06::DEGN,Degrees north,Latitude north,,LATD,Lat,,coordinate,Location,
58,GF3,LOND,"BIO,IML,MEDS",degrees_east&#124;degree&#124;deg&#124;degrees,nan,nan,,nan,preciseLon,Longitude North,degrees_east,,,longitude,SDN:P01::ALONZZ01,Longitude east,SDN:P06::DEGE,Degrees east,Longitude east,,LOND,Lon,,coordinate,Location,
59,GF3,LPHT,IML,Total scale,nan,nan,,nan,PHMASSXX,pH (total scale) {pH[T]} of the water body,Total scale,,,sea_water_ph_reported_on_total_scale,SDN:P01::PHMASSXX,pH (total scale) {pH[T]} of the water body,SDN:P06::UUPH,pH units,,,LPHT,Total_pHmass,,physicalMeasurement,CO2,
60,GF3,NTRI,"BIO,IML,MEDS",mmol/m^3&#124;millimole per metre cube,nan,nan,,nan,NTRIXXDZ,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],mmol/m^3,,,mole_concentration_of_nitrite_in_sea_water,SDN:P01::NTRIXXDZ,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,NTRI,NO2_Filt,,physicalMeasurement,Nutrients,
61,GF3,NTRZ,IML,mmol/m^3,nan,nan,,nan,NTRZZZXX,Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water body [unknown phase],mmol/m^3,,,mole_concentration_of_nitrate_and_nitrite_in_sea_water,SDN:P01::NTRZZZXX,Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water body [unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of nitrate+nitrite per unit volume of the water column. Nitrate+nitrite may be expressed in terms of mass or quantity of substance.,,NTRZ,NO3+NO2,,physicalMeasurement,Nutrients,
62,GF3,NUM,,none,nan,number of scans averaged,,nan,RecPerBin,Number of scans per bin,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,,
63,GF3,OCUR,"BIO,IML,MEDS",uA&#124;microampere&#124;ua,nan,nan,,nan,OXYCRWuA01,Raw signal (current) of instrument output by oxygen sensor,uA,,,,SDN:P01::OXYCRW01,Raw signal (current) of instrument output by oxygen sensor,,,Raw signal (current) of instrument output by oxygen sensor,,OCUR,RawOxyMembCurr,,physicalMeasurement,Other,
64,GF3,OCUR,"BIO,IML,MEDS",mA&#124;milliampere&#124;ma,nan,nan,,nan,OXYCRWmA01,Raw signal (current) of instrument output by oxygen sensor,mA,,,,SDN:P01::OXYCRW01,Raw signal (current) of instrument output by oxygen sensor,,,Raw signal (current) of instrument output by oxygen sensor,,OCUR,RawOxyMembCurr,,physicalMeasurement,Other,
65,GF3,OSAT,,%,nan,nan,,nan,OXYSZZ01,Oxygen Saturation,%,,,fractional_saturation_of_oxygen_in_sea_water,SDN:P01::OXYSZZ01,Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus reactive particulate phase],,,,,OSAT,O2Sat,,physicalMeasurement,Dissolved O2,
66,GF3,OXV,,volts&#124;V,nan,nan,,nan,OXYOCPVLXX,Raw signal (voltage) of instrument output by oxygen sensor,volts,,,,SDN:P01::OXYOCPVL,Raw signal (voltage) of instrument output by oxygen sensor,SDN:P06::UVLT,Volts,Raw signal (voltage) of instrument output by oxygen sensor,,OXV,Oxy_output_V,,physicalMeasurement,Other,
67,GF3,OXYV,BIO,volts&#124;V,nan,nan,,nan,OXYOCPVLXX,Raw signal (voltage) of instrument output by oxygen sensor,volts,,,,SDN:P01::OXYOCPVL,Raw signal (voltage) of instrument output by oxygen sensor,SDN:P06::UVLT,Volts,Raw signal (voltage) of instrument output by oxygen sensor,,OXYV,Oxy_output_V,,physicalMeasurement,Other,
68,GF3,PHA,"BIO,IML,MEDS",mg/m^3,nan,bottle&#124;sample,,nan,PHAEZZXX,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase],mg/m^3,,,,SDN:P01::PHAEZZXX,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase],SDN:P06::UMMC,Milligrams per cubic metre,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase],,PHA_,Phae_unspec,,physicalMeasurement,Other,
69,GF3,PHOS,"BIO,IML,MEDS",mmol/m^3&#124;millimole per metre cube,nan,nan,,nan,PHOSYYDZ,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],mmol/m^3,,,mole_concentration_of_phosphate_in_sea_water,SDN:P01::PHOSYYDZ,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],,PHOS,PO4_Unfilt,,physicalMeasurement,Nutrients,
70,GF3,PHPH,"BIO,IML,MEDS",dimensionless,nan,nan,,nan,PHXXZZXX,pH (unspecified scale) of the water body,dimensionless,,,sea_water_ph_reported_on_total_scale,SDN:P01::PHXXZZXX,pH (unspecified scale) of the water body,SDN:P06::UUUU,Dimensionless,pH per unit volume of the water body,,PHPH,pH,,physicalMeasurement,CO2,
71,GF3,PHT,IML,Total scale,nan,nan,,nan,PHMASSXX,pH (total scale) {pH[T]} of the water body,Total scale,,,sea_water_ph_reported_on_total_scale,SDN:P01::PHMASSXX,pH (total scale) {pH[T]} of the water body,SDN:P06::UUPH,pH units,,,PHT_,Total_pHmass,,physicalMeasurement,CO2,
72,GF3,POTM,"BIO,IML,MEDS","degree Celsius&#124;IPTS-68, deg C&#124;degrees C&#124;ITS-68, deg C",IPTS-68,nan,,nan,POTMS601,"Potential temperature of the water body by CTD and computation from pressure, salinity and IPTS-68 temperature using UNESCO algorithm",degree Celsius,,IPTS-68,sea_water_potential_temperature,SDN:P01::POTMS601,"Potential temperature of the water body by CTD and computation from pressure, salinity and IPTS-68 temperature using UNESCO algorithm",SDN:P06::UPAA,Degrees Celsius,,,POTM,Potemp_ipts68,,physicalMeasurement,Temperature,
73,GF3,POTM,"BIO,IML,MEDS","degree Celsius&#124;IPTS-68, deg C&#124;degrees C&#124;ITS-68, deg C&#124;ITS-90, deg C",nan,nan,,nan,POTMCV01,Potential temperature of the water body by computation using UNESCO 1983 algorithm,degree Celsius,,,sea_water_potential_temperature,SDN:P01::POTMCV01,Potential temperature of the water body by computation using UNESCO 1983 algorithm,SDN:P06::UPAA,Degrees Celsius,,,POTM,WC_Potemp,,physicalMeasurement,Temperature,
74,GF3,PRES,"BIO,IML,MEDS",decibar&#124;decibars&#124;db,nan,nan,,"lambda PRES,latitude: -1*gsw.z_from_p(PRES,latitude)",depth,Depth (spatial coordinate) relative to water surface in the water body,meters,,,depth,SDN:P01::ADEPZZ01,Depth (spatial coordinate) relative to water surface in the water body,SDN:P06::ULAA,Metres,The distance of a sensor or sampling point below the sea surface,,DEPH,DepBelowSurf,,coordinate,Location,
75,GF3,PRES,"BIO,IML,MEDS",decibar&#124;decibars&#124;db,nan,nan,,nan,PRESPR01,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level,decibar,,,sea_water_pressure,SDN:P01::PRESPR01,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level,SDN:P06::UPDB,Decibars,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level,,PRES,Pres_Z,,coordinate,Location,
76,GF3,PSAL,"BIO,IML,MEDS",1e-3&#124;psu&#124;PSU&#124;practical salinity unit (PSS-78)&#124;&#124;none,PSS-78,bottle&#124;sample,,nan,PSALBSTX,Practical salinity of the water body by bench salinometer and computation using UNESCO 1983 algorithm,1E-3,bottle,PSS-78,sea_water_practical_salinity,SDN:P01::PSALBSTX,Practical salinity of the water body by bench salinometer and computation using UNESCO 1983 algorithm,SDN:P06::UUUU,Dimensionless,Practical salinity of the water body,,PSAL,P_sal_salinom,,physicalMeasurement,Salinity,
77,GF3,PSAL,"BIO,IML,MEDS",1e-3&#124;psu&#124;PSU&#124;practical salinity unit (PSS-78)&#124;&#124;none,PSS-78,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,nan,PSALST01,Practical salinity of the water body by CTD and computation using UNESCO 1983 algorithm,1E-3,CTD,PSS-78,sea_water_practical_salinity,SDN:P01::PSALST01,Practical salinity of the water body by CTD and computation using UNESCO 1983 algorithm,SDN:P06::UUUU,Dimensionless,Practical salinity of the water body,,PSAL,P_sal_CTD,,physicalMeasurement,Salinity,
78,GF3,PSAL,"BIO,IML,MEDS",1e-3&#124;psu&#124;PSU&#124;practical salinity unit (PSS-78)&#124;&#124;none,PSS-78,nan,,nan,PSLTZZ01,Practical salinity of the water body,1E-3,,PSS-78,sea_water_practical_salinity,SDN:P01::PSLTZZ01,Practical salinity of the water body,SDN:P06::UUUU,Dimensionless,Practical salinity of the water body,,PSAL,P_sal,,physicalMeasurement,Salinity,
79,GF3,PSAR,"BIO,IML,MEDS",ueinsteins/s/m^2&#124;micromole per metre square per second&#124;micromoles/m^2/sec&#124;umol photons/m2/s,nan,nan,,nan,IRRDUV01,Photosynthetically Active Radiation,uEinsteins/s/m^2,,,downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,PSAR,SubsurVPAR,,physicalMeasurement,Optical Properties,
80,GF3,QCFF,,none,nan,nan,,nan,QCFF_XX,Quality Flag: QCFF,,,,status_flag,,,,,,,QCFF,,,qualityInformation,Quality,
81,GF3,SECC,"BIO,IML,MEDS",m,nan,nan,,nan,SECCSDNX,Visibility in the water body by Secchi disk,m,,,secchi_depth_of_sea_water,SDN:P01::SECCSDNX,Visibility in the water body by Secchi disk,SDN:P06::ULAA,Metres,Visibility in the water body by Secchi disk,,SECC,Secchi,,physicalMeasurement,Optical Properties,
82,GF3,SIGP,"BIO,IML,MEDS","kg/m^3&#124;kilogram per metre cube&#124;sigma-theta, kg/m^3&#124;sigma-theta, Kg/m^3",nan,nan,,nan,SIGTEQ01,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,kg/m^3,,,sea_water_sigma_theta,SDN:P01::SIGTEQ01,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,SDN:P06::UKMC,Kilograms per cubic metre,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,,SIGP,SigmaTheta,,physicalMeasurement,Other,
83,GF3,SIGT,"BIO,IML,MEDS",kg/m^3&#124;kilogram per metre cube,nan,nan,,nan,SIGTEQSTXX,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,kg/m^3,,,sea_water_sigma_t,SDN:P01::SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,SDN:P06::UKMC,Kilograms per cubic metre,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,,SIGT,Sigma-T,,physicalMeasurement,Other,
84,GF3,SLCA,"BIO,IML,MEDS",mmol/m^3&#124;millimole per metre cube,nan,nan,,nan,SLCAZZXX,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],mmol/m^3,,,mole_concentration_of_silicate_in_sea_water,SDN:P01::SLCAZZXX,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],,SLCA,SiOx,,physicalMeasurement,Nutrients,
85,GF3,SPAR,"BIO,MEDS","ueinsteins/s/m^2&#124;umol photons/m2/s&#124;umol photons/m2/s, logarithmic",nan,nan,,nan,IRRDSV01,Surface Photosynthetically Active Radiation,uEinsteins/s/m^2,,,surface_downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDSV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the atmosphere by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,SPAR,SurfVPAR,,physicalMeasurement,Optical Properties,
86,GF3,SYTM,"BIO,IML,MEDS",UTC&#124;GMT&#124;none,nan,nan,,nan,measurement_time,Exact Measurement Time,,,,time,,,,,,,SYTM,measurement_time,,coordinate,Time,
