,Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,legacy_gf3_code,SDN:P01::Alternative Name,comments,coverage_content_type,ioos_category,seabird_term
87,GF3,TE90,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,nan,TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,degree Celsius,CTD,ITS-90,sea_water_temperature,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,CTDTmp90,,physicalMeasurement,Temperature,
88,GF3,TE90,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,Reverse Thermometer,,nan,TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,ITS-90,sea_water_temperature,SDN:P01::TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,RTTemp90,,physicalMeasurement,Temperature,
89,GF3,TE90,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,nan,,nan,TEMPP901,Temperature (ITS-90) of the water body,degree Celsius,,ITS-90,sea_water_temperature,SDN:P01::TEMPP901,Temperature (ITS-90) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,WC_temp90,,physicalMeasurement,Temperature,
90,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,nan,TEMPS601,Temperature (IPTS-68) of the water body by CTD or STD,degree Celsius,CTD,IPTS-68,sea_water_temperature,SDN:P01::TEMPS601,Temperature (IPTS-68) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,CTDTmp68,,physicalMeasurement,Temperature,
91,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,Reverse Thermometer,,nan,TEMPR601,Temperature (IPTS-68) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,IPTS-68,sea_water_temperature,SDN:P01::TEMPR601,Temperature (IPTS-68) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,RTTemp68,,physicalMeasurement,Temperature,
92,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,nan,,nan,TEMPP681,Temperature (IPTS-68) of the water body,degree Celsius,,IPTS-68,sea_water_temperature,SDN:P01::TEMPP681,Temperature (IPTS-68) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,WC_temp68,,physicalMeasurement,Temperature,
93,GF3,TEMP,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,nan,TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,degree Celsius,CTD,ITS-90,sea_water_temperature,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,CTDTmp90,,physicalMeasurement,Temperature,
94,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,CTD&#124;STD&#124;GUILDLINE&#124;GUILDLN&bsol;.*&#124;SBE *19&#124;SBE *9&#124;SBE *37&#124;SBE *25&#124;Microcat&#124;Maestro&#124;Concerto&#124;XR&bsol;-*620&#124;XR&bsol;-*420,,lambda TEMP: gsw.t90_from_t68(TEMP),TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,degree Celsius,CTD,ITS-90,sea_water_temperature,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Unavailable,,TEMP,CTDTmp90,,physicalMeasurement,Temperature,
95,GF3,TEMP,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,Reverse Thermometer,,nan,TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,ITS-90,sea_water_temperature,SDN:P01::TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,RTTemp90,,physicalMeasurement,Temperature,
96,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,Reverse Thermometer,,lambda TEMP: gsw.t90_from_t68(TEMP),TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,ITS-90,sea_water_temperature,SDN:P01::TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,,,TEMP,RTTemp90,,physicalMeasurement,Temperature,
97,GF3,TEMP,"BIO,IML,MEDS",degree Celsius&#124;degree c&#124;degrees C&#124;deg C,ITS-90,nan,,nan,TEMPP901,Temperature (ITS-90) of the water body,degree Celsius,,ITS-90,sea_water_temperature,SDN:P01::TEMPP901,Temperature (ITS-90) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,WC_temp90,,physicalMeasurement,Temperature,
98,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",IPTS-68,nan,,lambda TEMP: gsw.t90_from_t68(TEMP),TEMPP901,Temperature (ITS-90) of the water body,degree Celsius,,ITS-90,sea_water_temperature,SDN:P01::TEMPP901,Temperature (ITS-90) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature (ITS-90) of the water body,,TE90,WC_temp90,,physicalMeasurement,Temperature,
99,GF3,TEMP,"BIO,IML,MEDS","degree Celsius&#124;degree c&#124;degrees C&#124;IPTS-68, deg C&#124;ITS-68, deg C&#124;deg C",nan,nan,,nan,TEMPPR01,Temperature of the water body,degree Celsius,,,sea_water_temperature,SDN:P01::TEMPPR01,Temperature of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,Temp,,physicalMeasurement,Temperature,
100,GF3,TICW,IML,umol/kg,nan,bottle&#124;sample,,nan,MDMAP010,Concentration of organic carbon {organic_C CAS 7440-44-0} {POC} per unit volume of the water body [particulate >unknown phase],umol/kg,bottle,,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,SDN:P01::MDMAP010,Concentration of organic carbon {organic_C CAS 7440-44-0} {POC} per unit volume of the water body [particulate >unknown phase],SDN:P06::KGUM,Micromoles per kilogram,,,TICW,POC,,physicalMeasurement,Colored Dissolved Organic Matter,
101,GF3,TRB,"MEDS,IML",NTU,nan,nan,,nan,TURBNTUXX,Turbidity of water in the water body,NTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::USTU,Nephelometric Turbidity Units,Estimate of suspended sediment concentration based on the proportion of a light transmission in the water column that is reflected back to a co-located receiver.,,TRB4,Turbidity,,physicalMeasurement,Total Suspended Matter,
102,GF3,TURB,"MEDS,IML",NTU,nan,nan,,nan,TURBNTUXX,Turbidity of water in the water body,NTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::USTU,Nephelometric Turbidity Units,Estimate of suspended sediment concentration based on the proportion of a light transmission in the water column that is reflected back to a co-located receiver.,,TRB4,Turbidity,,physicalMeasurement,Total Suspended Matter,
103,GF3,TURB,BIO,m^-1/sr,nan,WETECOBB,,nan,VSCTXX01,Volume scattering of light (unspecified wavelengths) by the water body,m^-1/sr,,,volume_scattering_function_of_radiative_flux_in_sea_water,SDN:P01::VSCTXXXX,Volume scattering of light (unspecified wavelengths) by the water body,SDN:P06::PMSR,per metre per steradian,Turbidity of water in the water body,,TURW,Light_scattering,,physicalMeasurement,Total Suspended Matter,
104,GF3,TURB,BIO,FTU&#124;Formazine Turbidity Unit ,nan,nan,,nan,TURBFTUXX,Turbidity of water in the water body,FTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::UFNU,Formazin Nephelometric Units,Turbidity of water in the water body,,TURB,Turbidity,,physicalMeasurement,Total Suspended Matter,
105,GF3,TURW,BIO,m^-1/sr,nan,WETECOBB,,nan,VSCTXX01,Volume scattering of light (unspecified wavelengths) by the water body,m^-1/sr,,,volume_scattering_function_of_radiative_flux_in_sea_water,SDN:P01::VSCTXXXX,Volume scattering of light (unspecified wavelengths) by the water body,SDN:P06::PMSR,per metre per steradian,Turbidity of water in the water body,,TURW,Light_scattering,,physicalMeasurement,Total Suspended Matter,
106,GF3,VAIS,,hertz,nan,nan,,nan,BV_Freq,Brunt Vaisala Frequency,Hz,,,,,,,,,,VAIS,BV_Freq,,physicalMeasurement,Other,
107,GF3,WETECOBB,,m^-1 sr^-1&#124;m^-1/sr,nan,turbWETbb0&#124;WETECOBB,,nan,VSCTXX01,Volume scattering of light (unspecified wavelengths) by the water body,m^-1/sr,,,volume_scattering_function_of_radiative_flux_in_sea_water,SDN:P01::VSCTXXXX,Volume scattering of light (unspecified wavelengths) by the water body,SDN:P06::PMSR,per metre per steradian,Turbidity of water in the water body,,TURW,Light_scattering,,physicalMeasurement,Total Suspended Matter,
108,IML,GEOP,,none,nan,nan,,nan,GEOP_XX,,1,,,,,,,,,,GEOP,,,,Other,
109,GF3,NTRA,"IML,BIO",mmol/m^3&#124;millimole per metre cube,nan,nan,,nan,,Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water body [unknown phase],mmol/m^3,,,mole_concentration_of_nitrate_in_sea_water,SDN:P01::NTRAZZXX,Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water body [unknown phase],SDN:P06::MMPL,Millimoles per litre,Concentration of nitrate per unit volume of the water column. Nitrate may be expressed in terms of mass or quantity of substance.,,NTRA,NO3,physicalMeasurement,Nutrients,,
110,GF3,OTMP,,degrees C&#124;deg C,nan,nan,,nan,OTMP_XX,Temperature of oxygen determination by optode,degree Celsius,,,temperature_of_sensor_for_oxygen_in_sea_water,SDN:P01::OXYTAAOP,Temperature of oxygen determination by optode,SDN:P06::UPAA,Degrees Celsius,,,OTMP,O2_temp,,physicalMeasurement,Temperature,
111,IML,SDEV,,nan,nan,nan,,nan,SDEV_XX,,,,,,,,,,,,,,,auxiliaryInformation,Other,
112,IML,SPVO,,m^3/kg&#124;mg**3/kg,nan,nan,,nan,SPVO_XX,,m^3/kg,,,,,,,,,,,,,,Other,
113,IML,UNKN,,nan,nan,^v&bsol;d&plus;$&#124;^upoly&bsol;d&plus;$,,nan,,,,,,,,,,,,,,,,,,
114,GF3,OXYM,IML,µM,nan,nan,,nan,OXYM,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase],umol/L,,,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,SDN:P01::DOXYZZXX,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase],SDN:P06::MMPL,Micromoles per litre,"Concentration of dissolved oxygen per unit volume of the water column. Oxygen may be expressed in terms of mass, volume or quantity of substance.",,OXYM,WC_dissO2,physicalMeasurement,Dissolved O2,dissolved_o2,
115,GF3,PTCH,IML,degrees,nan,nan,,nan,PITCH,Platform Pitch Angle,degrees,,,platform_pitch,,,SDN:P06::UAAA,Degrees,,,PTCH,,,coordinate,unknown,
116,GF3,ROLL,IML,degrees,nan,nan,,nan,ROLL,Platform Roll Angle,degrees,,,platform_roll,,,SDN:P06::UAAA,Degrees,,,ROLL,,,coordinate,unknown,
117,GF3,HEAD,IML,True degrees,nan,nan,,nan,HEAD,Platform Orientation Angle,degrees,,,platform_orientation,SDN:P01:HEADCMMG,Orientation (horizontal relative to magnetic north) of measurement platform {heading} by compass,SDN:P06::UABB,Degrees True,,,HEAD,Avg_Head,,coordinate,unknown,
118,GF3,TILT,IML,degrees,nan,nan,,nan,TILT,Platform Tilt Angle,degrees,,,,,,SDN:P06::UAAA,Degrees,,,TILT,,,coordinate,unknown,
119,GF3,EWCT,IML,m/s,nan,nan,,nan,HCSP,East (true) Component of Current,m/s,,,eastward_sea_water_velocity,,,SDN:P06::UVAA,m/s,,,EWCT,,,physicalMeasurement,currents,
120,GF3,NSCT,IML,m/s,nan,nan,,nan,NWCT,North true) Component of Current,m/s,,,northward_sea_water_velocity,,,SDN:P06::UVAA,m/s,,,NSCT,,,physicalMeasurement,currents,
121,GF3,VCSP,IML,m/s,nan,nan,,nan,VCSP,Vertical Current Speed (positive up),m/s,,,upward_sea_water_velocity,,,SDN:P06::UVAA,m/s,,,VCSP,,,physicalMeasurement,currents,
122,GF3,ERRV,IML,m/s,nan,nan,,nan,ERRV,Error Velocity (ADCP),m/s,,,indicative_error_from_multibeam_acoustic_doppler_velocity_profiler_in_sea_water,,,SDN:P06::UVAA,m/s,,,ERRV,,,physicalMeasurement,currents,
123,GF3,HCSP,IML,m/s,nan,nan,,nan,HCSP,Horizontal Current Speed,m/s,,,sea_water_speed,,,SDN:P06::UVAA,m/s,,,HCSP,,,physicalMeasurement,currents,
124,GF3,HCDM,IML,degrees,nan,Horizontal Current Direction (magnetic),,nan,HCDM,Horizontal Current Direction (magnetic),degrees (magnetic),,,,,,,,,,HCDM,,,physicalMeasurement,currents,
125,MLI,CNDC,,S/m&#124;mhos/m&#124;siemens/m,nan,nan,,nan,CNDCST01,Electrical Conductivity,S/m,,,sea_water_electrical_conductivity,SDN:P01::CNDCST01,Electrical conductivity of the water body by CTD,SDN:P06::UECA,Siemens per metre,,,CNDC,CTDCond,,physicalMeasurement,salinity,Conductivity
126,MLI,FLOR,"BIO,IML,MEDS",mg/m^3&#124;mg/m**3&#124;milligram per metre cube&#124;ug/L&#124;ug/l&#124;none,nan,fluoresdence&#124;fluo&#124;Flourescence&#124;^FLOR(_&#124;$)&#124;Fluorescence&#124;CTD fluorescence,,nan,CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,mg/m^3,,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
127,MLI,WSPD,IML,m/s,nan,nan,,nan,EWSBZZ01,Speed of wind {wind speed} in the atmosphere,m/s,,,wind_speed,SDN:P01::EWSBZZ01,Speed of wind {wind speed} in the atmosphere,SDN:P06::UVAA,m/s,Sustained speed of the wind (distance moved per unit time by a parcel of air) parallel to the ground at a given place and time.,,WSPD,WindSpd,,physicalMeasurement,wind,
128,MLI,GSPD,IML,m/s,nan,nan,,nan,EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,m/s,,,wind_speed_of_gust,SDN:P01::EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,SDN:P06::UVAA,m/s,Maximum speed of the wind (distance moved per unit time by a parcel of air) parallel to the ground during a gust event (generally regarded as an increase over sustained speed of more than 5 m/s lasting less than 20 seconds).,,GSPD,GustWindSpd,,physicalMeasurement,wind,
129,MLI,WDIR,IML,degrees,nan,nan,,nan,EWDAZZ01,Direction (from) of wind relative to True North {wind direction} in the atmosphere,degrees,,,wind_from_direction,SDN:P01::EWDAZZ01,Direction (from) of wind relative to True North {wind direction} in the atmosphere,SDN:P06::UABB,Degrees True,Direction relative to true north from which the wind is blowing,,WDIR,WindDirFrom,,physicalMeasurement,wind,
130,MLI,DRYT,IML,degrees C,nan,nan,,nan,CDTASS01,Temperature of the atmosphere by dry bulb thermometer,degree_celsius,,,air_temperature,SDN:P01::CDTASS01,Temperature of the atmosphere by dry bulb thermometer,SDN:P06::UPAA,Degrees Celsius,,,DRYT,AirTemp,,physicalMeasurement,Temperature,
131,MLI,RELH,IML,%,nan,nan,,nan,CRELZZ01,Relative humidity of the atmosphere,%,,,relative_humidity,SDN:P01::CRELZZ01,Relative humidity of the atmosphere,SDN:P06::UPCT,Percent,The ratio of the amount of water vapour in the air compared to the maximum amount of water vapour that can theoretically be held at the air's temperature,,RELH,Air_humid,,physicalMeasurement,other,
132,MLI,ATMP,IML,hPa,nan,nan,,nan,CAPHZZ01,Pressure (measured variable) exerted by the atmosphere,hPa,,,air_pressure,SDN:P01::CAPHZZ01,Pressure (measured variable) exerted by the atmosphere,SDN:P06::HPAX,Hectopascals,,,ATMP,AirPress,,physicalMeasurement,Pressure,
133,MLI,ACO2,IML,ppm,nan,nan,,nan,ACO2CV01,Concentration of carbon dioxide {CO2 CAS 124-38-9} per unit volume of cave atmosphere by carbon dioxide probe,ppm,,,,,,,,,,,,,,,
134,MLI,PCO2,IML,ppm,nan,nan,,nan,PCO2XXXX,Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water body,ppm,,,partial_pressure_of_carbon_dioxide_in_sea_water,SDN:P01::PCO2XXXX,Partial pressure of carbon dioxide {CO2 CAS 124-38-9} {pCO2} in the water body,SDN:P06::UPPM,ppm,The partial pressure of carbon dioxide in air in equilibrium with a water sample.,,PCO2,pCO2,,physicalMeasurement,,
135,MLI,VRMS,IML,m,nan,nan,,nan,,Wave mean height,m,,,sea_surface_wave_mean_height,,,SDN:P06::ULAA,Metres,,,VRMS,,,,,
136,MLI,VMXL,IML,m,nan,nan,,nan,,Wave maximum height,m,,,sea_surface_wave_maximum_height,,,SDN:P06::ULAA,Metres,,,VMXL,,,,,
137,MLI,VTCA,IML,s,nan,nan,,nan,,Wave period,s,,,sea_surface_wave_mean_period,,,SDN:P06::UTBB,Seconds,,,VTCA,,,,,
138,MLI,TAXN,IML,none,nan,nan,,nan,,Taxonomic Name,,,,,,,,,,,,,,,,
139,MLI,MODF,IML,none,nan,nan,,nan,,Additional taxonomic information,,,,,,,,,,,,,,,,
140,MLI,TSN,IML,none,nan,nan,,nan,,Taxonomic Serial Number,,,,,,,,,,,,,,,,
141,MLI,BNO7,IML,none,nan,nan,,nan,,Best NODC7 number,,,,,,,,,,,,,,,,
142,MLI,AUTH,IML,none,nan,nan,,nan,,Authority,,,,,,,,,,,,,,,,
143,MLI,LHIS,IML,none,nan,nan,,nan,,Life History or Development Stage,,,,,,,,,,,,,,,,
144,MLI,TRPH,IML,none,nan,nan,,nan,,Trophic Descriptor,,,,,,,,,,,,,,,,
145,MLI,MNSV,IML,microns,nan,nan,,nan,,Retention Filter Size,microns,,,,,,,,,,,,,,,
146,MLI,MXSV,IML,microns,nan,nan,,nan,,Larges Sieve Used,microns,,,,,,,,,,,,,,,
147,MLI,MNSZ,IML,microns,nan,nan,,nan,,Minimum size of organisms,,,,,,,,,,,,,,,,
148,MLI,MXSZ,IML,microns,nan,nan,,nan,,Maximum size of organisms,,,,,,,,,,,,,,,,
149,MLI,SEX,IML,none,nan,nan,,nan,,Sex,None,,,,,,,,,,,,,,,
150,MLI,PHY,IML,10^3cells/L,nan,nan,,nan,,Phytoplankton Counts,10^3cells/L,,,,,,,,,,,,,,,
151,MLI,ZOO,IML,none,nan,nan,,nan,,'Zooplankton counts',,,,,,,,,,,,,,,,
152,MLI,SPFR,IML,none,nan,nan,,nan,,Fraction of Sample,,,,,,,,,,,,,,,,
153,MLI,WTWT,IML,g,nan,nan,,nan,,Wet Weight of Organisms,g,,,,,,,,,,,,,,,
154,MLI,DRWT,IML,g,nan,nan,,nan,,Dry Weight of Organisms,g,,,,,,,,,,,,,,,
155,MLI,CMNT,IML,none,nan,nan,,nan,,Comments,,,,,,,,,,,,,,,,
