platform_name,platform_owner,platform_type,country_of_origin,ices_platform_codes,wmo_platform_code,call_sign,sdn_platform_urn,dfo_newfoundland_ship_code
"""LAKE MELVILLE""",,,,,,,,17.0
"""SENTINAL""",,,,,,,,41.0
"""SPECIALS"" ",,,,,,,,15.0
"""WHALER""",,,,,,,,40.0
A. Needler,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18NE,7907104.0,CG2683,SDN:C17::18NE,
A. T. Cameron,,,,,,,,1.0
ABCO (Aluminum Boat Company),,,,,,,,
Adolf Jensen,,,,,,,,
Alfred Needler,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18NE,7907104.0,CG2683,SDN:C17::18NE,12.0
Amundsen,Canadian Coast Guard,Research Vessel,Canada,18DL,7510846.0,CGDT,SDN:C17::18DL,
Anne Harvey,,,,,,,,36.0
Aqviq,,,,,,,,62.0
Atlantic Clare,,,,,,,,42.0
Atlantic Lindsey,,,,,,,,44.0
Atlantic Surf,,,,,,,,32.0
Atlantis,U.S. Navy,Research Vessel,United States,33AT,9105798.0,KAQP,SDN:C17::33AT,
Baffin,,research vessel,Canada,18BA,,CGCL,SDN:C17::18BA,
Balder Cabot,,,,,,,,14.0
Beluga II,Canadian Coast Guard,self-propelled boad,Canada,18BP,,,SDN:C17::18BP,
Bernier,,,,,,,,24.0
BOUEE OCEANOGRAPHIQUE,,,,,,,,
Burin bay,,,,,,,,8.0
C1196NS ROSBOROUGH,,,,,,,,
C6-4828,,,,,,,,
Cap Breton,Canadian Coast Guard,ship,Canada,18BO,,,SDN:C17::18BO,
Cap Nord,,,,,,,,
Cape Adair,,,,,,,,28.0
Cape Ballard,,,,,,,,48.0
Cape Roger,,,,,,,,33.0
Capt Jacques Cartier,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18CR,9781841.0,CFA3098,SDN:C17::18CR,76.0
Capt. Jacques Cartier,,,,,,,,76.0
CCG206,,,,,,,,27.0
Celtic Explorer,,,,,,,,60.0
Cindy Elizabeth,,,,,,,,13.0
Coriolis II,"institutions: ISMER, UQAM, McGill University, INRS-ETE, MLI-DFO  ",Research Vessel,Canada,18OL,8818570.0,CGDN,SDN:C17::18OL,
Cormorant,,,,,,,,23.0
Cutter 141,,,,,,,,
Cygnus,,,,,,,,
Dalhousie University Zodiac,,,,,,,,
Dana,Technical University of Denmark,Research Vessel,Denmark,26D4,7912680.0,OXBH,SDN:C17::26D4,
Dawson,Unknown,Research Vessel,Canada,18DA,6726802.0,CGBV,SDN:C17::18DA,18.0
Des Groseilliers,Canadian Coast Guard,Research Vessel,Canada,18GO,8006385.0,CGDX,SDN:C17::18GO,
Discovery,,,,,,,,55.0
DUMMY SHIP -testing-,,,,,,,,99.0
E.E. Prince,,,,,,,,16.0
E.E.Prince,,,,,,,,
Earl Grey,Canadian Coast Guard,naval vessel,Canada,18EG,8412340.0,CG3029,SDN:C17::18EG,
Edward Cornwallis,,,,,,,,
Endeavor,National Science Foundation,Research Vessel,United States,32EV,7604300.0,WCE5063,SDN:C17::32EV,
Explorer,,,,,,,,34.0
Fort Francis,,,,,,,,
Fugro Discovery,Fugro,Hydrographic Survey Vessel,Panama,PADS,9152882.0,,SDN:C17::PADS,
Fundy Spray,HMSC,research vessel,Canada,18FQ,,,SDN:C17::18FQ,
Gadus Atlantica,,,,,,,,2.0
George R. Pearkes,,,,,,,,59.0
Gilbert Bay,,,,,,,,54.0
Helicopter,,,,,,,,
Henry Larsen,Canadian Coast Guard,vessel of opportunity,Canada,18HS,8409329.0,CGHL,SDN:C17::18HS,37.0
Hood,,,,,,,,25.0
Hudson,Canadian Coast Guard,Offshore Research Vessel,Canada,18HU,5405279.0,CGDG,SDN:C17::18HU,20.0
Humphrey Gilbert,,,,,,,,38.0
Ibis,,,,,,,,
IPMF Barge,,,,,,,,
JL HART,,,,,,,,
John Cabot,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18JC,9781853.0,CGDJ,SDN:C17::18JC,77.0
John P. Tully,Canadian Coast Guard,Offshore Oceanographic Science Vessel,Canada,18DD,8320420.0,CG2958,SDN:C17::18DD,
Karl & Jackie,,,,,,,,19.0
Katsheshuk,,,,,,,,64.0
KingFisher,,,,,,,,31.0
Kinguk,,,,,,,,63.0
Lady Hammond,Bedford Institute of Oceanography,Research Vessel,Canada,18LH,7214844.0,,SDN:C17::18LH,11.0
Lady Kenda,,,,,,,,5.0
Lauzier,,,,,,,,29.0
Leim,Canadian Coast Guard,Nearshore Fishery Research Vessel,Canada,18LO,9656163.0,CFN6223,SDN:C17::18LO,
Limnos,Canadian Coast Guard,Mid Shore Science Vessel,Canada,18LN,6804903.0,CG2350,SDN:C17::18LN,
Louis S. St-Laurent,Canadian Coast Guard,Heavy Icebreaker,Canada,18SN,6705937.0,CGBN,SDN:C17::18SN,
M. Perley,Canadian Coast Guard,Nearshore Fishery Research,Canada,18MU,9656151.0,CGMP,SDN:C17::18MU,
Macoma,,,Denmark,26MK,,XPA4682,SDN:C17::26MK,
Mares,,,,,,,,26.0
Marinus,,,,,,,,4.0
Martha Black,,,,,,,,65.0
Martha L. Black,Canadian Coast Guard,Research Vessel,Canada,18MF,8320432.0,CCGC,SDN:C17::18MF,65
Martin&Phillip,,,,,,,,6.0
Maxwell,Canadian Coast Guard,research vessel,Canada,18MX,5230040.0,,SDN:C17::18MX,
MESD LAUNCH,,,,,,,,
MULTIPLE SHIPS,,,,,,,,
Narwhal,,,,,,,,
Navicula,Canadian Coast Guard,research vessel,Canada,18NA,,CG2364,SDN:C17::18NA,
Neil Armstrong,Woods Hole Oceanographic Institution,Research Vessel,United States,33VB,9688946.0,WRNU,SDN:C17::33VB,
Neocaligus,Canadian Coast Guard,Nearshore Fishery Research Vessel,Canada,18QX,,CFG7677,SDN:C17::18QX,
NFLD Hawk,,,,,,,,9.0
NFLD Lynx,,,,,,,,30.0
NSC F.G. CREED,Canadian Coast Guard,research vessel,Canada,18FC,8944496.0,CG3198,SDN:C17::18FC,
Opilio,,,Canada,18OP,,CFD2576,SDN:C17::18OP,
Otter Bay,Canadian Coast Guard,Mid Shore Science Vessel,Canada,18D3,,CG3262,SDN:C17::18D3,
Pack_Kat,,,,,,,,
Pack_Kat Launch,,,,,,,,
Pandaslus,,,,,,,,
Pandora II,,,Canada,18P2,,CZ3946,SDN:C17::18P2,
Parizeau,Canadian Coast Guard,Research Vessel,Canada,18PZ,6711728.0,CGBS,SDN:C17::18PZ,21.0
Penguin,USS,naval vessel,United States,319P,,NUKM,SDN:C17::319P,
Penny Smart,,,,,,,,49.0
Petrel,,naval vessel,France,35PE,,FCPL,SDN:C17::35PE,
Petrel V,,,,,,,,22.0
Pierre Radisson,Canadian Coast Guard,research vessel,Canada,18RD,7510834.0,CGSB,SDN:C17:18RD,
Provo Wallis,,,,,,CGDP,SDN:C17::18PW,
Quadra,Canadian Coast Guard,research vessel,Canada,18QA,,VE0MP,SDN:C17::18QA,
Quest,,,,,,,,
RRS James Cook,National Environment Research Council,Research Vessel,United Kingdom,740H,9338242.0,MLRM6,SDN:C17::740H,79.0
Sackville,Fisheries Research Board,research vessel,Canada,18SV,,CNAV,SDN:C17::18SV,
Sambro,Canadian Coast Guard,self-propelled small boat,Canada,18S9,,CG2613,SDN:C17::18S9,
Shamook,,,,,,,,3.0
Shippigan,,,,,,,,
Sigma T,Canadian Coast Guard,Coastal Research Vessel,Canada,18SG,,,SDN:C17::18SG,
Sir John Franklin,Canadian Coast Guard,Offshore Fishery Science Vessel,Canada,18SZ,9781839.0,VFAM,SDN:C17::18SZ,
Sir Wilfred Grenfell,,,,,,,,45.0
Sir Wilfrid Laurier,Canadian Coast Guard,Arctic Class 2,Canada,	18LU,8320456.0,CGJK,SDN:C17::18LU,
Sir William Alexander,Canadian Coast Guard,vessel of opportunity,Canada,18WA,8320482.0,CGUM,SDN:C17:18WA,
Spray,Canadian Coast Guard,self-propelled small boat,Canada,18PY,,CG2248,SDN:C17::18PY,
Teleost,Canadian Coast Guard,Ice-Reinforced Factory Freeze Trawler,Canada,18TL,8714346.0,CGCB,SDN:C17::18TL,39.0
Theron,,research vessel,Canada,18TE,5358737.0,,SDN:C17::18TE,
Tudlik,,,,,,,,
Tulugaq,,,,,,,,
Unknown,,,,,,,,0.0
Variable,,,,,,,,
Vector,Canadian Coast Guard,Mid Shore Science Vessel,Canada,18VT,6717760.0,CGBW,SDN:C17::18VT,
VESSEL OF OPPORTUNITY,,,,,,,,
Viking_S27,,,,,,,,75.0
Viola M. Davidson,Canadian Coast Guard,Research vessel,Canada,18AU,,CGEC,SDN:C17::18AU,
Vladykov,Canadian Coast Guard,Nearshore Fishery Research Vessel,Canada,18VD,9656149.0,CFN5960,SDN:C17::18VD,61.0
W. Templeman,,,,,,,,10.0
WB Scott,,,,,,,,
WILFRED TEMPLEMAN,Canadian Coast Guard,research vessel,Canada,181C,7907099.0,CGDV,SDN:C17:181C,
Zagreb,,,,,,,,7.0
Zandvoort,,,,,,,,35.0
